0018F8538A93	-122.312271223	47.6636833588
00134686E4E4	-122.304958983	47.6604019274
000B86CDED20	-122.306493534	47.6570910245
000B86CAC340	-122.310000608	47.6516467889
00095B6E53E0	-122.27714288	47.668012801
00150503DCEF	-122.306222131	47.6732147284
000FB3870589	-122.312679909	47.6620152925
000FF70CE9C1	-122.316135841	47.6621005016
0006257E4CC7	-122.315865669	47.6750118517
0018F86E40CA	-122.311809442	47.6687525656
00183F350949	-122.310169987	47.663826559
00145175EA25	-122.27961603	47.66723039
000B86B80D80	-122.302555131	47.6572067645
00A0F83B90B3	-122.313732536	47.664273412
00119535AA2B	-122.310884802	47.6633168557
000B86CE07C0	-122.306761251	47.6569516252
0015E91ABF26	-122.311806131	47.6584128821
0014BFEE169C	-122.298093259	47.6624440092
00A0C57543FF	-122.311236069	47.6609867112
000B86A17ED0	-122.308069181	47.6566165411
0030BDC09CB0	-122.304067626	47.6651720854
0016B6AA385A	-122.314624587	47.6626121548
000B86CBCCA0	-122.312936865	47.6588015988
0019E4143E91	-122.304761073	47.6650190913
0014BFF346E7	-122.311348116	47.664363397
00112403BDAB	-122.313787757	47.668022614
00146CD4D686	-122.318415279	47.6737774367
001319313120	-122.312943477	47.6597739917
00179A76629D	-122.299118977	47.6614473067
001310B598CF	-122.309057854	47.6636776173
000B86C86720	-122.305223597	47.6543451555
0014BFE9DBE0	-122.311964293	47.6628026949
000B86D02CA0	-122.305106197	47.6556250289
00A0C538BFF8	-122.3099096	47.6520515824
0014BF1DBB15	-122.30758214	47.653488566
000B86CE2040	-122.313116142	47.6529641101
000F3D5E0230	-122.312132351	47.6625569687
000625A17F1E	-122.314891682	47.6666847117
0080C816711C	-122.312776385	47.6564452109
000B86C17580	-122.304930964	47.6545879944
001217D13EF8	-122.316794794	47.6711112361
00146C41004C	-122.312866919	47.6635183862
000D0BF79D68	-122.308467835	47.6616304301
004096466678	-122.306556391	47.6590069294
000B86D28EA0	-122.315396979	47.6512086887
0014BF349564	-122.316429203	47.6704735707
000B86CBC3C0	-122.311808414	47.6584672749
000B86CDDC60	-122.304788026	47.6557774773
